accession	domain	phylum	class	order	family	genus	species
RS_GCF_000016525.1	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanocatella	Methanocatella smithii
GB_GCA_002686525.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-O2	MGIIb-O2 sp002686525
RS_GCF_000970205.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei
GB_GCA_038880255.1	Archaea	Thermoplasmatota	Thermoplasmata	Aciduliprofundales	ARK-15	ARK-15	ARK-15 sp038880255
GB_GCA_033272285.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	TA-21	TA-21 sp033272285
GB_GCA_022117465.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus limneticus
RS_GCF_000016605.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula
RS_GCF_900083515.1	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Cuniculiplasma	Cuniculiplasma divulgatum
RS_GCF_000012285.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
RS_GCF_002114285.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum ezzemoulense
RS_GCF_000204415.1	Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	Methanothrix soehngenii
GB_GCA_021809545.1	Archaea	Thermoplasmatota	Thermoplasmata	UBA184	UBA184	JAJYEA01	JAJYEA01 sp021809545
GB_GCA_023268715.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-O1	MGIIb-O1 sp023268715
GB_GCA_021816745.1	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Cuniculiplasma	Cuniculiplasma sp021816745
GB_GCA_023261845.1	Archaea	Thermoproteota	Nitrososphaeria_A	Caldarchaeales	Wolframiiraptoraceae	Terraquivivens	Terraquivivens tengchongensis
GB_GCA_030550455.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	NBVN01	DRZP01	DRZP01 sp030550455
GB_GCA_937934305.1	Archaea	Thermoproteota	Nitrososphaeria_A	Caldarchaeales	Caldarchaeaceae	Caldarchaeum	Caldarchaeum subterraneum_E
GB_GCA_023267855.1	Archaea	Thermoproteota	Nitrososphaeria_A	Caldarchaeales	Wolframiiraptoraceae	Geocrenenecus	Geocrenenecus dongiae
GB_GCA_013538805.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosocaldaceae	Nitrosocaldus	Nitrosocaldus schleperae
GB_GCA_038734825.1	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	GCA-001856825	GCA-001856825	GCA-001856825 sp038734825
GB_GCA_038843015.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	NBVN01	Zestosphaera	Zestosphaera sp038843015
GB_GCA_002498525.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-O1	MGIIb-O1 sp002498525
GB_GCA_018883755.1	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculum faecipullorum
GB_GCA_023261815.1	Archaea	Thermoproteota	Nitrososphaeria_A	Caldarchaeales	Wolframiiraptoraceae	Wolframiiraptor	Wolframiiraptor sinensis
GB_GCA_038731975.1	Archaea	Thermoproteota	Thermoprotei	Thermofilales	Thermofilaceae	JANXEW01	JANXEW01 sp038731975
GB_GCA_023254095.1	Archaea	Thermoproteota	Nitrososphaeria_A	Caldarchaeales	Wolframiiraptoraceae	Geocrenenecus	Geocrenenecus huangii
GB_GCA_038734615.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus sp038734615
GB_GCA_021851265.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	UBA183	UBA183	UBA183 sp021851265
RS_GCF_019175345.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus shibatae
GB_GCA_021791335.1	Archaea	Thermoplasmatota	Thermoplasmata	UBA184	UBA184	UBA184	UBA184 sp021791335
GB_GCA_030549835.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Acidilobaceae	DSZV01	DSZV01 sp030549835
GB_GCA_038882935.1	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	WYZ-LMO2	WYZ-LMO2 sp038882935
GB_GCA_028355015.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-O2	MGIIb-O2 sp002494975
GB_GCA_002499445.1	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina sp002499445
GB_GCA_031200235.1	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	UBA509	UBA509 sp002498845
RS_GCF_000204925.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera cuprina
RS_GCF_016806735.1	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	Micrarchaeum_A	Micrarchaeum_A acidiphilum_A
GB_GCA_002505185.1	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Ferroplasma	Ferroplasma sp002505185
RS_GCF_002945325.1	Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
RS_GCF_023617305.1	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanocatella	Methanocatella smithii_A
