assembly_accession	organism_name	assembly_level	seq_rel_date	ftp_path
GCA_000008585.1	Mycobacterium tuberculosis CDC1551	Complete Genome	2004-08-04	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/585/GCA_000008585.1_ASM858v1/
GCA_000009445.1	Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2	Complete Genome	2007-01-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/445/GCA_000009445.1_ASM944v1/
GCA_000010685.1	Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172	Complete Genome	2009-03-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/685/GCA_000010685.1_ASM1068v1/
GCA_000016145.1	Mycobacterium tuberculosis H37Ra	Complete Genome	2007-05-31	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/145/GCA_000016145.1_ASM1614v1/
GCA_000016925.1	Mycobacterium tuberculosis F11	Complete Genome	2007-06-07	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/925/GCA_000016925.1_ASM1692v1/
GCA_000023625.1	Mycobacterium tuberculosis KZN 1435	Complete Genome	2009-07-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/625/GCA_000023625.1_ASM2362v1/
GCA_000152105.1	Mycobacterium tuberculosis SUMu001	Scaffold	2010-10-19	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/105/GCA_000152105.1_ASM15210v1/
GCA_000152505.1	Mycobacterium tuberculosis C	Scaffold	2005-11-10	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/505/GCA_000152505.1_ASM15250v1/
GCA_000153685.2	Mycobacterium tuberculosis str. Haarlem	Complete Genome	2013-09-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/685/GCA_000153685.2_ASM15368v2/
GCA_000154585.2	Mycobacterium tuberculosis KZN 4207	Complete Genome	2011-04-07	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/585/GCA_000154585.2_ASM15458v2/
GCA_000154605.2	Mycobacterium tuberculosis KZN 605	Complete Genome	2012-06-19	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/605/GCA_000154605.2_ASM15460v2/
GCA_000155145.1	Mycobacterium tuberculosis 94_M4241A	Scaffold	2008-06-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/145/GCA_000155145.1_ASM15514v1/
GCA_000155165.1	Mycobacterium tuberculosis 02_1987	Scaffold	2008-06-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/165/GCA_000155165.1_ASM15516v1/
GCA_000155185.1	Mycobacterium tuberculosis T92	Scaffold	2008-06-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/185/GCA_000155185.1_ASM15518v1/
GCA_000155225.1	Mycobacterium tuberculosis EAS054	Scaffold	2008-06-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/225/GCA_000155225.1_ASM15522v1/
GCA_000155245.1	Mycobacterium tuberculosis T85	Scaffold	2008-06-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/245/GCA_000155245.1_ASM15524v1/
GCA_000155285.1	Mycobacterium tuberculosis GM 1503	Scaffold	2008-07-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/285/GCA_000155285.1_ASM15528v1/
GCA_000155305.1	Mycobacterium tuberculosis T17	Scaffold	2008-07-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/305/GCA_000155305.1_ASM15530v1/
GCA_000155795.1	Mycobacterium tuberculosis '98-R604 INH-RIF-EM'	Scaffold	2009-01-26	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/795/GCA_000155795.1_ASM15579v1/
GCA_000159735.1	Mycobacterium tuberculosis T46	Scaffold	2009-04-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/735/GCA_000159735.1_ASM15973v1/
GCA_000159755.1	Mycobacterium tuberculosis CPHL_A	Scaffold	2009-04-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/755/GCA_000159755.1_ASM15975v1/
GCA_000159775.1	Mycobacterium tuberculosis variant africanum K85	Scaffold	2009-04-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/775/GCA_000159775.1_ASM15977v1/
GCA_000162975.1	Mycobacterium tuberculosis KZN 4207	Chromosome	2010-06-04	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/975/GCA_000162975.1_ASM16297v1/
GCA_000162995.1	Mycobacterium tuberculosis KZN V2475	Chromosome	2010-06-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/995/GCA_000162995.1_ASM16299v1/
GCA_000163015.1	Mycobacterium tuberculosis KZN R506	Chromosome	2010-06-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/015/GCA_000163015.1_ASM16301v1/
GCA_000165695.1	Mycobacterium tuberculosis SUMu002	Scaffold	2010-11-24	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/695/GCA_000165695.1_ASM16569v1/
GCA_000169515.1	Mycobacterium tuberculosis H37Ra	Contig	2007-03-19	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/515/GCA_000169515.1_ASM16951v1/
GCA_000176315.1	Mycobacterium tuberculosis 210	Contig	2009-10-20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/315/GCA_000176315.1_ASM17631v1/
GCA_000177795.2	Mycobacterium tuberculosis SUMu003	Scaffold	2010-11-28	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/795/GCA_000177795.2_ASM17779v2/
GCA_000177815.2	Mycobacterium tuberculosis SUMu004	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/815/GCA_000177815.2_ASM17781v2/
GCA_000177835.2	Mycobacterium tuberculosis SUMu005	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/835/GCA_000177835.2_ASM17783v2/
GCA_000177855.2	Mycobacterium tuberculosis SUMu006	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/855/GCA_000177855.2_ASM17785v2/
GCA_000177875.2	Mycobacterium tuberculosis SUMu007	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/875/GCA_000177875.2_ASM17787v2/
GCA_000177895.2	Mycobacterium tuberculosis SUMu008	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/895/GCA_000177895.2_ASM17789v2/
GCA_000177915.2	Mycobacterium tuberculosis SUMu009	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/915/GCA_000177915.2_ASM17791v2/
GCA_000177935.2	Mycobacterium tuberculosis SUMu010	Scaffold	2010-11-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/177/935/GCA_000177935.2_ASM17793v2/
