run_accession	sample_accession	sample_alias	study_title	experiment_accession	study_accession	tax_id	scientific_name	base_count	fastq_ftp	fastq_md5
ERR2620019	SAMEA4720739	2072	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637716	PRJEB27220	9606	Homo sapiens	39468861	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/009/ERR2620019/ERR2620019.fastq.gz	cde93388b23b692eb09cbe904a7a20f6
ERR2620020	SAMEA4720740	84001	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637717	PRJEB27220	9606	Homo sapiens	13938699038	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/000/ERR2620020/ERR2620020.fastq.gz	7ad3ed0f1049adb8744f6a5c1871d060
ERR2620021	SAMEA4720741	84005	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637718	PRJEB27220	9606	Homo sapiens	3981753092	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/001/ERR2620021/ERR2620021.fastq.gz	2fad42d0d72318ca569fcab61fb54d68
ERR2620022	SAMEA4720742	84035	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637719	PRJEB27220	9606	Homo sapiens	802242691	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/002/ERR2620022/ERR2620022.fastq.gz	9c5497b10ed8ba5b305fac37db5e828f
ERR2620023	SAMEA4720743	97002	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637720	PRJEB27220	9606	Homo sapiens	462897848	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/003/ERR2620023/ERR2620023.fastq.gz	f413907095493046c1df18f269f57e16
ERR2620024	SAMEA4720744	97026	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637721	PRJEB27220	9606	Homo sapiens	315504782	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/004/ERR2620024/ERR2620024.fastq.gz	f1733dd126ae3695436285876cec42df
ERR2620025	SAMEA4720745	97029	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637722	PRJEB27220	9606	Homo sapiens	287163195	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/005/ERR2620025/ERR2620025.fastq.gz	219455b93163faa83e6ddc21ed34bfa6
ERR2620026	SAMEA4720746	grt035	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637723	PRJEB27220	9606	Homo sapiens	11606078187	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/006/ERR2620026/ERR2620026.fastq.gz	92f34e175fdb3ea875822445d57abab5
ERR2620027	SAMEA4720747	grt036	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637724	PRJEB27220	9606	Homo sapiens	8466605201	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/007/ERR2620027/ERR2620027.fastq.gz	02d1a535d43c578fd15343e8043ad414
ERR2620028	SAMEA4720748	kal009	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637725	PRJEB27220	9606	Homo sapiens	708512779	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/008/ERR2620028/ERR2620028.fastq.gz	cba76927333dc0cdcf6afa3bcab57944
ERR2620029	SAMEA4720749	stg020	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637726	PRJEB27220	9606	Homo sapiens	786186916	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/009/ERR2620029/ERR2620029.fastq.gz	b626c42609ca3d552e262bdb89d751a2
ERR2620030	SAMEA4720750	stg021	Genomic and strontium isotope variation reveal immigration patterns in a Viking Age town	ERX2637727	PRJEB27220	9606	Homo sapiens	12982705228	ftp.sra.ebi.ac.uk/vol1/fastq/ERR262/000/ERR2620030/ERR2620030.fastq.gz	853caf5c0020168459f13f7068fa7bc7
