SAMN37850654	SRR26402477	16-7
SAMN37850655	SRR26402476	16-9
SAMN37850656	SRR26402429	16-10
SAMN37850657	SRR26402000	16-20
SAMN37850658	SRR26402175	16-21
SAMN37850659	SRR26402128	16-23
SAMN37850660	SRR26402045	16-26-1
SAMN37850661	SRR26402034	16-28
SAMN37850662	SRR26402117	16-29
SAMN37850663	SRR26402106	16-30
SAMN37850664	SRR26402475	16-32
SAMN37850665	SRR26402464	16-33
SAMN37850666	SRR26402453	16-35
SAMN37850667	SRR26402314	16-41
SAMN37850668	SRR26402303	16-70
SAMN37850669	SRR26402292	16-71
SAMN37850670	SRR26402281	16-73
SAMN37850671	SRR26402270	16-90
SAMN37850672	SRR26402259	16-131
SAMN37850673	SRR26402440	16-132
SAMN37850674	SRR26402428	16-133
SAMN37850675	SRR26402417	16-134-1
SAMN37850676	SRR26402406	16-136-1
SAMN37850677	SRR26402395	16-140
SAMN37850678	SRR26402384	16-143
SAMN37850679	SRR26402087	16-144
SAMN37850680	SRR26402076	16-153
SAMN37850681	SRR26402065	16-157
SAMN37850682	SRR26402022	16-159
SAMN37850683	SRR26402011	16-160
SAMN37850684	SRR26402381	16-161
SAMN37850685	SRR26402370	16-233
SAMN37850686	SRR26402359	16-249
SAMN37850687	SRR26402252	16-250
SAMN37850688	SRR26402241	16-269
SAMN37850689	SRR26402230	16-272
SAMN37850690	SRR26402219	16-273
SAMN37850691	SRR26402208	16-274
SAMN37850692	SRR26402197	16-278
SAMN37850693	SRR26402186	16-293
SAMN37850694	SRR26402174	16-307
SAMN37850695	SRR26402163	16-308-1
SAMN37850696	SRR26401994	16-311-1
SAMN37850697	SRR26401983	16-312
SAMN37850698	SRR26401972	16-316
SAMN37850699	SRR26402343	16-319
SAMN37850700	SRR26402332	16-404
SAMN37850701	SRR26402321	16-405
SAMN37850702	SRR26402150	16-406-1
SAMN37850703	SRR26402139	16-408
SAMN37850704	SRR26402127	16-410
SAMN37850705	SRR26401958	16-413
SAMN37850706	SRR26401947	16-415
SAMN37850707	SRR26401936	16-444
SAMN37850708	SRR26402053	16-446
SAMN37850709	SRR26402050	16-486
SAMN37850710	SRR26402049	16-489
SAMN37850711	SRR26402048	16-491-1
SAMN37850712	SRR26402047	16-492
SAMN37850713	SRR26402046	16-496
SAMN37850714	SRR26402044	16-499
SAMN37850715	SRR26402043	16-501
SAMN37850716	SRR26402042	16-505
SAMN37850717	SRR26402041	16-506
SAMN37850718	SRR26402040	16-507
SAMN37850719	SRR26402039	HS16-0410
SAMN37850720	SRR26402038	HS16-0520
SAMN37850721	SRR26402037	HS16-0523
SAMN37850722	SRR26402036	HS16-0581
SAMN37850723	SRR26402035	HS16-0632
SAMN37850724	SRR26402033	HS16-0775
SAMN37850725	SRR26402032	HS16-0861
SAMN37850726	SRR26402125	HS16-0944
SAMN37850727	SRR26402124	HS16-0946
SAMN37850728	SRR26402123	HS16-1044
SAMN37850729	SRR26402122	HZ16-745
SAMN37850730	SRR26402121	HZ16-746
SAMN37850731	SRR26402120	HZ16-750
SAMN37850732	SRR26402119	HZ16-756
SAMN37850733	SRR26402118	HZ16-759
SAMN37850734	SRR26402116	17-1
SAMN37850735	SRR26402115	17-2
SAMN37850736	SRR26402114	17-3
SAMN37850737	SRR26402113	17-6
SAMN37850738	SRR26402112	17-9
SAMN37850739	SRR26402111	17-12
SAMN37850740	SRR26402110	17-18
SAMN37850741	SRR26402109	17-20
SAMN37850742	SRR26402108	17-21
SAMN37850743	SRR26402107	17-23
SAMN37850744	SRR26402105	17-24
SAMN37850745	SRR26402104	17-26
SAMN37850746	SRR26402103	17-34
SAMN37850747	SRR26402102	17-37
SAMN37850748	SRR26402101	17-39
SAMN37850749	SRR26402100	17-41
SAMN37850750	SRR26402099	17-43
SAMN37850751	SRR26402098	17-44-1
SAMN37850752	SRR26402097	17-45-2
