BioSampleAccn	Description	Submitter	Collected_by	Geographic_location
SAMN37850654	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Shanghai
SAMN37850655	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Shanghai
SAMN37850656	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Shanghai
SAMN37850657	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Beijing
SAMN37850658	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Beijing
SAMN37850659	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Beijing
SAMN37850660	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Beijing
SAMN37850661	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Beijing
SAMN37850662	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Beijing
SAMN37850663	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Beijing
SAMN37850664	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Beijing
SAMN37850665	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Beijing
SAMN37850666	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Beijing
SAMN37850667	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Beijing
SAMN37850668	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Hubei
SAMN37850669	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Hubei
SAMN37850670	Pathogen: clinical or host-associated sample from Klebsiella pneumoniae	Shanghai Jiao Tong University, School of Medicine	China Antimicrobial Surveillance Network(CHINET)	China:Hubei
