SAMN46705571	SRR32270877	A417
SAMN46705572	SRR32270876	A1019
SAMN46705573	SRR32270683	A1153
SAMN46705574	SRR32270790	A1163
SAMN46705575	SRR32270779	A1164
SAMN46705576	SRR32270768	A1188
SAMN46705577	SRR32270757	A1195
SAMN46705578	SRR32270746	A1196
SAMN46705579	SRR32270845	A1197
SAMN46705580	SRR32270834	A1198
SAMN46705581	SRR32270875	A1208
SAMN46705582	SRR32270864	A1222
SAMN46705583	SRR32270853	A248
SAMN46705584	SRR32270816	A297
SAMN46705585	SRR32270805	A300
SAMN46705586	SRR32270738	A301
SAMN46705587	SRR32270727	A306
SAMN46705588	SRR32270716	A328
SAMN46705589	SRR32270705	A360
SAMN46705590	SRR32270694	A420
SAMN46705591	SRR32270682	A431
SAMN46705592	SRR32270671	A477
SAMN46705593	SRR32270660	A479
SAMN46705594	SRR32270658	A596
SAMN46705595	SRR32270657	A605
SAMN46705596	SRR32270795	A6347
SAMN46705597	SRR32270794	A6414
SAMN46705598	SRR32270793	A644
SAMN46705599	SRR32270792	A6512
SAMN46705600	SRR32270791	A663
SAMN46705601	SRR32270789	A701
SAMN46705602	SRR32270788	A707
SAMN46705603	SRR32270787	A794
SAMN46705604	SRR32270786	A795
SAMN46705605	SRR32270785	A811
SAMN46705606	SRR32270784	A8384
SAMN46705607	SRR32270783	A846
SAMN46705608	SRR32270782	A869
SAMN46705609	SRR32270781	A8996
SAMN46705610	SRR32270780	A9004
SAMN46705611	SRR32270778	A9031
SAMN46705612	SRR32270777	A9225
SAMN46705613	SRR32270776	A9290
SAMN46705614	SRR32270775	A929
SAMN46705615	SRR32270774	A9460
SAMN46705616	SRR32270773	A9461
SAMN46705617	SRR32270772	A949
SAMN46705618	SRR32270771	A9525
SAMN46705619	SRR32270770	A9547
SAMN46705620	SRR32270769	A9554
SAMN46705621	SRR32270767	A9635
SAMN46705622	SRR32270766	A9849
SAMN46705623	SRR32270765	A987
SAMN46705624	SRR32270764	A9895
SAMN46705625	SRR32270763	B1757
SAMN46705626	SRR32270762	B1772
SAMN46705627	SRR32270761	B1916
SAMN46705628	SRR32270760	B2053
SAMN46705629	SRR32270759	B2200
SAMN46705630	SRR32270758	B2220
SAMN46705631	SRR32270756	B2235
SAMN46705632	SRR32270755	B2755
SAMN46705633	SRR32270754	B2839
SAMN46705634	SRR32270753	B2971
SAMN46705635	SRR32270752	B3038
SAMN46705636	SRR32270751	B3132
SAMN46705637	SRR32270750	B3165
SAMN46705638	SRR32270749	B3295
SAMN46705639	SRR32270748	B3576
SAMN46705640	SRR32270747	B3582
SAMN46705641	SRR32270745	B3655
SAMN46705642	SRR32270744	B6110
SAMN46705643	SRR32270743	B6113
SAMN46705644	SRR32270742	B7051
SAMN46705645	SRR32270741	B7289
SAMN46705646	SRR32270740	C1320
SAMN46705647	SRR32270849	C1321
SAMN46705648	SRR32270848	C1557
SAMN46705649	SRR32270847	C1704
SAMN46705650	SRR32270846	C1713
SAMN46705651	SRR32270844	C1778
SAMN46705652	SRR32270843	C1854
SAMN46705653	SRR32270842	C2749
SAMN46705654	SRR32270841	C2750
SAMN46705655	SRR32270840	C2985
SAMN46705656	SRR32270839	C2986
SAMN46705657	SRR32270838	C3056
SAMN46705658	SRR32270837	C3057
SAMN46705659	SRR32270836	C3070
SAMN46705660	SRR32270835	C3143
SAMN46705661	SRR32270833	C7400
SAMN46705662	SRR32270832	HD0035109-A430
SAMN46705663	SRR32270831	HD0035110-A649-2
SAMN46705664	SRR32270830	HD0035111-A429-3
SAMN46705665	SRR32270829	HD0035113-A345
SAMN46705666	SRR32270828	HD0035114-A440
SAMN46705667	SRR32270827	HD0035115-A537
SAMN46705668	SRR32270826	HD0035116-A728
SAMN46705669	SRR32270825	HD0035117-A662
SAMN46705670	SRR32270824	HD0035118-A908
SAMN46705671	SRR32270874	HD0035119-A1671
SAMN46705672	SRR32270873	HD0035120-A1582
SAMN46705673	SRR32270872	HD0035121-A1686
SAMN46705674	SRR32270871	HD0035124-A4163
SAMN46705675	SRR32270870	HD0035129-A5347
SAMN46705676	SRR32270869	HD0035131-A1387
SAMN46705677	SRR32270868	HD0035132-B560
SAMN46705678	SRR32270867	HD0035134-A7554
SAMN46705679	SRR32270866	HD0035135-A7615
SAMN46705680	SRR32270865	HD0035136-B14
SAMN46705681	SRR32270863	HD0035137-B279
SAMN46705682	SRR32270862	HD0035139-B527
SAMN46705683	SRR32270861	HD0035140-B636
SAMN46705684	SRR32270860	HD0035141-B638
SAMN46705685	SRR32270859	HD0035144-B4687
SAMN46705686	SRR32270858	HD0035145-B4688
SAMN46705687	SRR32270857	HD0035146-B4690
SAMN46705688	SRR32270856	HD0035147-B4869
SAMN46705689	SRR32270855	HD0035148-B5186
SAMN46705690	SRR32270854	HD0035149-B5750
SAMN46705691	SRR32270852	HD0035150-B5269
SAMN46705692	SRR32270851	HD0035151-B5545
SAMN46705693	SRR32270850	HD0035153-B5837
SAMN46705694	SRR32270823	HD0035154-B5875
SAMN46705695	SRR32270822	HD0035156-B4578
SAMN46705696	SRR32270821	HD0035157-B8969
SAMN46705697	SRR32270820	HD0035158-B8269
SAMN46705698	SRR32270819	HD0035159-C804
SAMN46705699	SRR32270818	HD0035160-C1026
SAMN46705700	SRR32270817	HD0035161-C1241
SAMN46705701	SRR32270815	HD0035162-C2046
SAMN46705702	SRR32270814	HD0035163-C2125
SAMN46705703	SRR32270813	HD0035164-C4391
SAMN46705704	SRR32270812	HD0035165-C8696
SAMN46705705	SRR32270811	HD0035166-C8695
SAMN46705706	SRR32270810	HD0035167-C8709
SAMN46705707	SRR32270809	HD0035168-C8899
SAMN46705708	SRR32270808	HD0035169-E330
SAMN46705709	SRR32270807	HD0035170-E331
SAMN46705710	SRR32270806	HD0035171-E332
SAMN46705711	SRR32270804	HD0035172-E333
SAMN46705712	SRR32270803	HD0035173-E334
SAMN46705713	SRR32270802	HD0035174-E337
SAMN46705714	SRR32270801	HD0035175-E339
SAMN46705715	SRR32270800	HD0035176-E341
SAMN46705716	SRR32270799	HD0035177-E342
SAMN46705717	SRR32270798	HD0031091-BJ15
SAMN46705718	SRR32270797	HD0031092-BJ36
SAMN46705719	SRR32270796	HD0031093-BJ61
SAMN46705720	SRR32270739	HD0031094-BJ64
SAMN46705721	SRR32270737	HD0031095-BJ72
SAMN46705722	SRR32270736	HD0031096-BJ76
SAMN46705723	SRR32270735	HD0031097-BJ87
SAMN46705724	SRR32270734	HD0031098-BJ91
SAMN46705725	SRR32270733	HD0031099-BJ97
SAMN46705726	SRR32270732	HD0031100-BJ111
SAMN46705727	SRR32270731	HD0031101-BJ117
SAMN46705728	SRR32270730	HD0031102-BJ134
SAMN46705729	SRR32270729	HD0031103-BJ140
SAMN46705730	SRR32270728	HD0031104-BJ147
SAMN46705731	SRR32270726	HD0031105-BJ171
SAMN46705732	SRR32270725	HD0031106-BJ177
SAMN46705733	SRR32270724	HD0031107-BJ200
SAMN46705734	SRR32270723	HD0031108-BJ206
SAMN46705735	SRR32270722	HD0031109-BJ232
SAMN46705736	SRR32270721	HD0031110-BJ279
SAMN46705737	SRR32270720	HD0031112-BJ353
SAMN46705738	SRR32270719	HD0031113-BJ366
SAMN46705739	SRR32270718	HD0031114-BJ383
SAMN46705740	SRR32270717	HD0031115-BJ410
SAMN46705741	SRR32270715	HD0031117-BJ444
SAMN46705742	SRR32270714	HD0031118-BJ450
SAMN46705743	SRR32270713	HD0031119-BJ514
SAMN46705744	SRR32270712	HD0031120-BJ524
SAMN46705745	SRR32270711	HD0031121-BJ537
SAMN46705746	SRR32270710	HD0031124-BJ670
SAMN46705747	SRR32270709	HD0031127-BJ886
SAMN46705748	SRR32270708	HD0031128-BJ942
SAMN46705749	SRR32270707	HD0031129-BJ1056
SAMN46705750	SRR32270706	HD0031130-BJ1209
SAMN46705751	SRR32270704	HD0031131-BJ1267
SAMN46705752	SRR32270703	HD0031133-BJ1341
SAMN46705753	SRR32270702	HD0031134-BJ1443
SAMN46705754	SRR32270701	HD0031135-BJ1452
SAMN46705755	SRR32270700	HD0031136-BJ1553
SAMN46705756	SRR32270699	HD0031137-BJ1814
SAMN46705757	SRR32270698	HD0031138-BJ1887
SAMN46705758	SRR32270697	HD0031139-BJ2029
SAMN46705759	SRR32270696	HE0002554-BJ2330
SAMN46705760	SRR32270695	HE0002555-BJ2482
SAMN46705761	SRR32270693	HE0002556-BJ3073
SAMN46705762	SRR32270692	HE0002557-BJ4206
SAMN46705763	SRR32270691	HE0002558-BJ4336
SAMN46705764	SRR32270690	HE0002559-BJ4477
SAMN46705765	SRR32270689	HE0002560-BJ4844
SAMN46705766	SRR32270688	HE0002561-BJ5098
SAMN46705767	SRR32270687	HE0002562-BJ5188
SAMN46705768	SRR32270686	HE0002563-BJ5321
SAMN46705769	SRR32270685	HE0002564-BJ6277
SAMN46705770	SRR32270684	HE0002565-BJ6309
SAMN46705771	SRR32270681	HE0002566-BJ6357
SAMN46705772	SRR32270680	HE0002567-BJ6766
SAMN46705773	SRR32270679	HE0002568-BJ6778
SAMN46705774	SRR32270678	HE0002569-BJ6809
SAMN46705775	SRR32270677	HE0002570-BJ7028
SAMN46705776	SRR32270676	HE0002571-BJ7034
SAMN46705777	SRR32270675	HE0002573-BJ7052
SAMN46705778	SRR32270674	HE0002574-BJ7057
SAMN46705779	SRR32270673	HE0002575-BJ11094
SAMN46705780	SRR32270672	HE0002576-BJ11099
SAMN46705781	SRR32270670	HE0002577-BJ11101
SAMN46705782	SRR32270669	HE0002578-BJ11108
SAMN46705783	SRR32270668	HE0002579-BJ11124
SAMN46705784	SRR32270667	HE0002580-BJ11137
SAMN46705785	SRR32270666	HE0002581-BJ11153
SAMN46705786	SRR32270665	HE0002582-BJ11167
SAMN46705787	SRR32270664	HE0002583-BJ11260
SAMN46705788	SRR32270663	HE0002584-BJ11268
SAMN46705789	SRR32270662	HE0002585-BJ11269
SAMN46705790	SRR32270661	HD0031111-BJ313
SAMN46705791	SRR32270659	HD0031116-BJ428
