SAMN46891430	SRR32394747	P1
SAMN46891431	SRR32394746	P2
SAMN46891432	SRR32394734	P3
SAMN46891433	SRR32394727	P4
SAMN46891434	SRR32394713	P5
SAMN46891435	SRR32394701	P6
SAMN46891436	SRR32394694	P7
SAMN46891437	SRR32394693	P8
SAMN46891438	SRR32394696	P9
SAMN46891439	SRR32394692	P10
SAMN46891440	SRR32394745	P11
SAMN46891441	SRR32394744	P12
SAMN46891442	SRR32394742	P13
SAMN46891443	SRR32394741	P14
SAMN46891444	SRR32394740	P15
SAMN46891445	SRR32394743	P16
SAMN46891446	SRR32394739	P17
SAMN46891447	SRR32394738	P18
SAMN46891448	SRR32394737	P19
SAMN46891449	SRR32394736	P20
SAMN46891450	SRR32394733	P21
SAMN46891451	SRR32394732	P22
SAMN46891452	SRR32394735	P23
SAMN46891453	SRR32394731	P24
SAMN46891454	SRR32394730	P25
SAMN46891455	SRR32394729	P26
SAMN46891456	SRR32394728	P27
SAMN46891457	SRR32394726	P28
SAMN46891458	SRR32394725	P29
SAMN46891459	SRR32394724	P30
SAMN46891460	SRR32394723	P31
SAMN46891461	SRR32394722	P32
SAMN46891462	SRR32394721	P33
SAMN46891463	SRR32394720	P34
SAMN46891464	SRR32394719	P35
SAMN46891465	SRR32394718	P36
SAMN46891466	SRR32394717	H_1
SAMN46891467	SRR32394716	H_2
SAMN46891468	SRR32394715	H_3
SAMN46891469	SRR32394714	H_4
SAMN46891470	SRR32394712	H_5
SAMN46891471	SRR32394711	H6
SAMN46891472	SRR32394710	H7
SAMN46891473	SRR32394709	H8
SAMN46891474	SRR32394708	H9
SAMN46891475	SRR32394707	H10
SAMN46891476	SRR32394706	H11
SAMN46891477	SRR32394705	H12
SAMN46891478	SRR32394703	H13
SAMN46891479	SRR32394702	H14
SAMN46891480	SRR32394704	H15
SAMN46891481	SRR32394700	H16
SAMN46891482	SRR32394699	H17
SAMN46891483	SRR32394698	H18
SAMN46891484	SRR32394697	H19
SAMN46891485	SRR32394695	H20
