SAMN12792938	SRR10154311	CASE1
SAMN12792939	SRR10154310	CASE2
SAMN12792940	SRR10154299	CASE3
SAMN12792941	SRR10154288	CASE4
SAMN12792942	SRR10154285	CASE5
SAMN12792943	SRR10154284	CASE6
SAMN12792944	SRR10154283	CASE7
SAMN12792945	SRR10154282	CASE8
SAMN12792946	SRR10154281	CASE9
SAMN12792947	SRR10154280	CASE10
SAMN12792948	SRR10154309	CASE11
SAMN12792949	SRR10154308	CASE12
SAMN12792950	SRR10154307	CASE13
SAMN12792951	SRR10154306	CASE14
SAMN12792952	SRR10154305	CASE15
SAMN12792953	SRR10154304	CASE16
SAMN12792954	SRR10154303	CASE17
SAMN12792955	SRR10154302	CASE18
SAMN12792956	SRR10154301	CASE19
SAMN12792957	SRR10154300	CASE20
SAMN12792958	SRR10154298	CASE21
SAMN12792959	SRR10154297	CASE22
SAMN12792960	SRR10154296	CASE23
SAMN12792961	SRR10154295	CASE24
SAMN12792962	SRR10154294	CASE25
SAMN12792963	SRR10154293	CASE26
SAMN12792964	SRR10154292	CASE27
SAMN12792965	SRR10154291	CASE28
SAMN12792966	SRR10154290	CASE29
SAMN12792967	SRR10154289	CASE30
SAMN12792968	SRR10154287	CASE31
SAMN12792969	SRR10154286	CASE32
