2025-08-20 00:38:19 | SAMN03084792 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:38:24 | SAMN03084793 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:38:29 | SAMN03084794 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:38:34 | SAMN03084795 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:38:40 | SAMN03084796 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:38:45 | SAMN03084798 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:38:52 | SAMN03084799 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:38:57 | SAMN03084800 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:39:02 | SAMN03084801 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:39:07 | SAMN03084802 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:39:12 | SAMN03084803 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:39:18 | SAMN03084804 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:39:24 | SAMN03084805 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
2025-08-20 00:39:29 | SAMN03084788 | SUCCESS | /mnt/g/鲍曼META/biosample_xml/SAMN03084788.xml | SRR3017758,SRR3017760,SRR3017806,SRR3017855,SRR3017859,SRR3017860,SRR3017863,SRR3017865,SRR3017866,SRR3017916,SRR3017918,SRR3017919,SRR3017921,SRR3017923,SRR3017988,SRR3018203,SRR3018250,SRR3018296,SRR3018341,SRR3018343,SRR3018344,SRR3018346,SRR3018348,SRR3018351,SRR3018352,SRR3018354,SRR3018357,SRR3018360,SRR3018362,SRR3018363,SRR3146328,SRR3146334,SRR3146335,SRR3146336,SRR3146337,SRR3146342,SRR3146350,SRR3146353,SRR3146354,SRR3146358,SRR3146360,SRR3146364,SRR3146370,SRR3146371,SRR3146372,SRR3146373,SRR3146374,SRR3146375,SRR3146376,SRR3146377,SRS1208620,SRS1208623,SRS1208624 | SRA partial success. Failed: SRS1208631,SRS1208632,SRS1208634,SRS1208637,SRS1208638,SRS1208640,SRS1208643,SRS1208645,SRS1208647,SRS1208649,SRS1208653,SRS1208654,SRS1208657,SRS1208662,SRS1208670,SRS1208671,SRS1208674,SRS1208675,SRS1208677,SRS1208678,SRS1208680,SRS1208682,SRS1208683,SRS1208685,SRS1208688,SRS1208690,SRS1208693,SRS1276705,SRS1276708,SRS1276709,SRS1276710,SRS1276715,SRS1276718,SRS1276724,SRS1276727,SRS1276728,SRS1276734,SRS1276739,SRS1276740,SRS1276746,SRS1276747,SRS1276748,SRS1276749,SRS1276750,SRS1276751,SRS1276752,SRS1276763
2025-08-20 00:39:29 | SAMN03084806 | BIOSAMPLE_FAILED | NOT_FOUND |  | Biosample not found
